2017-02-15 20:19:52 status half-installed libsemanage1:amd64 2.3-1build3
2017-02-15 20:19:52 status unpacked libsemanage1:amd64 2.3-1build3
2017-02-15 20:19:52 status unpacked libsemanage1:amd64 2.3-1build3
2017-02-15 20:19:52 install libsepol1:amd64 <none> 2.4-2
2017-02-15 20:19:52 status half-installed libsepol1:amd64 2.4-2
2017-02-15 20:19:52 status unpacked libsepol1:amd64 2.4-2
2017-02-15 20:19:52 status unpacked libsepol1:amd64 2.4-2
2017-02-15 20:19:52 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2017-02-15 20:19:52 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:52 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:52 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2017-02-15 20:19:52 install libss2:amd64 <none> 1.42.13-1ubuntu1
2017-02-15 20:19:52 status half-installed libss2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:52 status unpacked libss2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:52 status unpacked libss2:amd64 1.42.13-1ubuntu1
2017-02-15 20:19:52 install libsystemd0:amd64 <none> 229-4ubuntu4
2017-02-15 20:19:52 status half-installed libsystemd0:amd64 229-4ubuntu4
2017-02-15 20:19:52 status unpacked libsystemd0:amd64 229-4ubuntu4
2017-02-15 20:19:52 status unpacked libsystemd0:amd64 229-4ubuntu4
2017-02-15 20:19:52 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:19:52 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:52 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:52 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-02-15 20:19:52 install libudev1:amd64 <none> 229-4ubuntu4
2017-02-15 20:19:52 status half-installed libudev1:amd64 229-4ubuntu4
2017-02-15 20:19:52 status unpacked libudev1:amd64 229-4ubuntu4
2017-02-15 20:19:52 status unpacked libudev1:amd64 229-4ubuntu4
2017-02-15 20:19:53 install libustr-1.0-1:amd64 <none> 1.0.4-5
2017-02-15 20:19:53 status half-installed libustr-1.0-1:amd64 1.0.4-5
2017-02-15 20:19:53 status unpacked libustr-1.0-1:amd64 1.0.4-5
2017-02-15 20:19:53 status unpacked libustr-1.0-1:amd64 1.0.4-5
2017-02-15 20:19:53 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2017-02-15 20:19:53 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
